id,target
5,0.12133381
6,0.5226325
8,0.052396026
9,0.1635688
11,0.11957243
15,0.21272579
16,0.11286141
17,0.039823424
21,0.20329154
24,0.006810873
26,0.033209424
27,0.7580675
28,0.19455042
29,0.093276404
30,0.38191408
31,0.052113406
32,0.31149337
33,0.07106877
34,0.035215754
35,0.80747783
38,-0.002937531
42,0.13887572
44,-0.013904561
45,0.19208041
48,0.1564443
50,0.16661087
53,0.12227665
54,0.160009
57,0.06671698
59,0.046465278
62,0.03907018
63,0.119045526
64,0.05543986
65,0.07157877
66,0.10754423
70,0.55276316
71,0.085722156
76,0.21638092
78,0.18527055
79,0.07882837
81,0.054775726
83,0.9506906
85,0.69695467
86,0.46530005
88,0.07793121
89,0.0011386548
91,0.7047226
93,0.10955155
94,0.9288978
97,0.7688358
99,0.21853325
102,0.14311227
103,0.13255784
104,0.014927311
107,0.16669853
110,0.6176987
114,-0.00839211
119,-0.024694547
130,0.7571527
131,0.32456186
132,0.6277185
133,0.048987463
136,0.20126772
139,0.18579203
143,0.041546643
145,-0.009865921
146,0.08549614
147,0.01747038
148,0.10993989
149,0.01654786
153,0.026364949
157,0.053240906
160,0.006585492
165,0.22121918
167,0.029385783
170,0.044828508
176,0.3770243
179,0.19651145
180,0.004836717
181,-0.007131197
185,0.30154705
187,0.78864795
191,0.9037139
192,0.0032104834
193,0.010090762
197,0.8129754
198,0.07802556
199,0.578943
200,0.14132193
201,0.21735346
202,0.06321253
203,0.43741187
204,-0.017281301
206,0.012749354
209,-0.040892363
210,0.7626839
211,0.19333963
213,0.9676388
214,0.043317035
216,0.068954304
221,0.054852962
222,0.0610825
223,0.8130298
226,0.32923147
228,0.93487096
229,0.27164027
233,0.16554497
236,1.0213764
239,0.022594733
242,0.12759475
244,0.856385
247,0.13838573
250,0.35310084
251,0.027000131
253,0.22583787
258,0.3117215
259,0.30625182
260,0.7492291
261,0.54398596
262,0.017461056
263,0.17230219
267,0.22171342
268,0.042714626
269,0.0051331376
271,0.111096054
276,0.741541
283,0.274001
286,-0.0051860074
291,0.13015357
292,0.08291548
293,0.07072841
294,0.03647975
295,0.040274844
298,0.033989858
300,0.5693477
302,0.22680129
304,0.87571996
305,0.21906473
307,0.14440814
309,0.4140031
314,0.14979304
315,0.07573131
316,0.06518513
317,0.14984807
319,0.7787426
320,0.00049405
322,0.012820276
331,0.026255282
332,0.06667451
333,0.060684733
334,0.07190663
335,0.14274333
339,0.047674462
340,0.06630943
342,0.18654145
344,-0.037107904
345,0.085108854
348,0.17341359
349,0.06831021
351,0.18036024
352,0.02765714
354,0.3652699
357,0.1048305
358,0.022238696
360,0.149813
362,0.57751083
365,0.16944723
366,0.053774256
367,0.044208597
369,0.012935405
373,0.70728713
375,0.035450052
377,0.78215736
380,5.5202516e-05
384,0.029874748
388,0.08698575
391,0.109515905
397,0.07561438
403,0.25902313
404,0.19459343
405,0.011250018
408,0.20686767
409,-0.00021085254
410,0.23205645
411,0.8510192
412,0.056575816
414,0.17856444
420,0.3924847
422,0.16369548
425,0.078867376
428,0.041970126
429,0.092244804
431,1.0057958
437,-0.00481546
438,0.07974502
441,0.23881404
445,0.1362508
447,0.11925909
448,0.2605761
452,0.0075836657
453,0.06726463
459,0.2790398
461,0.078929916
464,0.055815585
465,0.07420505
467,0.040305402
469,0.11454794
470,0.5641017
475,0.78090024
476,0.038586836
483,0.41100848
484,0.038030896
485,0.09336072
488,0.35041323
493,0.7740317
495,0.32742828
498,0.2298367
499,0.037586793
501,0.2752372
505,0.107823685
507,0.00039648043
514,0.040524848
519,0.78702223
520,0.53027153
524,0.032249987
527,0.050359134
528,0.31786224
529,-0.0141751915
530,0.035937678
531,0.29022488
533,0.65480244
536,0.13333231
537,0.12560977
538,0.023930028
540,0.076831095
541,0.09722171
543,0.1521281
544,0.6295016
548,0.06647198
552,0.03022228
555,0.3838657
556,0.7132902
557,0.13678014
558,0.035810538
560,0.37824607
563,0.0054905415
567,0.16757816
573,0.003805157
574,0.32137758
576,0.6590721
578,0.006273932
580,0.03126482
581,0.13713819
582,0.05053203
583,-0.04135832
584,0.030261079
586,0.032985657
587,0.078542225
591,0.030909743
592,0.7245056
593,0.023256786
595,0.025473416
597,0.1357146
601,0.1892289
603,0.06166782
605,-0.021483947
608,0.074829884
611,0.123477526
612,0.041829836
617,0.092373826
619,0.7937947
622,0.11969712
623,0.47206056
624,0.7555146
625,0.06853812
630,0.09290267
632,0.1445654
634,0.014208778
637,-0.022217732
638,0.6805873
640,0.035002086
642,0.57901305
644,0.26590946
647,0.10206517
648,0.9067176
649,0.22922517
650,0.008741585
653,-0.035645366
655,0.045898877
658,0.15847012
660,0.036557253
664,0.22913544
665,0.14181255
666,-0.022267014
667,0.44873956
668,0.18673751
672,0.12399049
674,0.25818127
675,0.7350687
676,0.5313574
677,0.57541674
678,-0.04839556
679,0.048077997
680,0.06162376
682,0.11034871
683,0.19348378
686,0.76470065
692,0.009571902
694,0.04064593
695,0.23040129
696,0.008248038
701,0.13418642
707,0.022525458
708,0.8777428
713,0.05753057
715,0.13794431
716,0.43124563
724,0.11948528
726,0.35369542
727,0.009602519
731,0.8420745
736,0.3126455
737,-0.0012465692
738,0.081889436
740,0.4568532
741,0.44615474
745,0.21428852
746,-0.04324457
747,0.24866861
748,1.1078597
749,0.60197675
753,0.077962734
755,0.10874243
758,0.5275013
762,1.0943663
765,0.10568955
770,0.036638007
772,0.049109384
774,0.4440106
776,0.31953007
778,0.14013985
779,0.096548185
781,0.45786166
783,0.85658175
784,0.28250405
785,0.3588298
786,0.05624241
791,0.13490747
796,0.6806848
797,0.5670114
802,0.038370587
807,0.062026888
815,0.073755994
816,0.018066144
818,0.09131449
821,0.2931862
822,0.08678734
828,0.6272221
833,0.7845552
835,0.044251285
836,0.30444622
837,0.10671001
840,0.63486207
843,0.664675
850,0.014954999
852,0.80535436
856,0.42966992
857,-0.012019063
859,0.4464659
861,0.102723
862,0.04384692
863,0.28670093
864,0.9809402
865,0.08540381
869,0.22583897
872,0.21578689
876,0.04795804
877,0.003375475
878,0.31024024
880,0.4002954
883,0.31996492
888,0.9727697
889,0.021411512
890,0.2848514
894,0.09093625
896,0.21444343
898,0.22667067
903,0.81061244
905,0.55091095
906,-0.003171222
907,0.051114533
908,0.38598093
911,0.18252023
914,0.6490648
918,0.12184731
919,0.054586057
920,0.12406262
922,0.21130298
923,0.10729433
924,0.61559814
925,0.042442486
930,0.83867025
931,0.31501094
933,0.059749678
934,0.14075883
